Year	SRKW
1970	80
1971	67
1972	69
1973	67
1974	69
1975	71
1976	70
1977	79
1978	79
1979	81
1980	83
1981	81
1982	78
1983	76
1984	74
1985	77
1986	81
1987	84
1988	85
1989	85
1990	89
1991	92
1992	91
1993	97
1994	96
1995	98
1996	97
1997	92
1998	89
1999	85
2000	83
2001	80
2002	82
2003	82
2004	87
2005	87
2006	84
2007	87
2008	83
2009	86
2010	86
2011	88
2012	84
2013	82
2014	78
2015	84
